epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,50001.2,0.17615,0.92533,0.87886,0.4929,0.98027,0.49889,0.497,0.10917,9.45262,0.71963,0.00028475,0.00028475,0.00028475
80,50899.5,0.17419,0.92769,0.88434,0.49286,0.98945,0.4977,0.49677,0.09028,10.0765,0.71435,0.000272375,0.000272375,0.000272375
81,51735.6,0.17584,0.93178,0.88298,0.49441,0.99108,0.50172,0.50146,0.08096,10.509,0.71144,0.00026,0.00026,0.00026
82,52587,0.17208,0.9209,0.88031,0.49199,0.98902,0.49892,0.4961,0.09458,10.4331,0.71696,0.000247625,0.000247625,0.000247625
83,53420.6,0.17719,0.92908,0.883,0.49126,0.98275,0.49854,0.49439,0.09174,10.3419,0.71829,0.00023525,0.00023525,0.00023525
84,54404.1,0.17135,0.92906,0.88105,0.49601,0.98817,0.50133,0.49919,0.07881,10.2135,0.7107,0.000222875,0.000222875,0.000222875
85,55401.4,0.17165,0.91982,0.88178,0.4948,0.99012,0.49994,0.49733,0.08089,10.4076,0.71337,0.0002105,0.0002105,0.0002105
86,56377.7,0.16739,0.94197,0.88362,0.49499,0.99184,0.50033,0.49831,0.06895,10.1821,0.7101,0.000198125,0.000198125,0.000198125
87,57347.3,0.16636,0.91169,0.87923,0.49567,0.99009,0.49997,0.49796,0.07359,10.4437,0.71051,0.00018575,0.00018575,0.00018575
88,58114.5,0.16268,0.90307,0.87951,0.49513,0.98976,0.50085,0.49833,0.07377,10.7074,0.70984,0.000173375,0.000173375,0.000173375
89,58782.9,0.16827,0.92147,0.87944,0.49486,0.99233,0.49958,0.49649,0.08397,10.1522,0.71127,0.000161,0.000161,0.000161
90,59434.5,0.16327,0.90059,0.87996,0.49363,0.99048,0.49972,0.49535,0.09771,10.4139,0.71649,0.000148625,0.000148625,0.000148625
91,60076.4,0.16199,1.05458,0.86876,0.49652,0.99584,0.5037,0.50352,0.06758,8.49625,0.70611,0.00013625,0.00013625,0.00013625
92,60750.3,0.1406,0.91992,0.86083,0.49875,0.99659,0.50256,0.50252,0.06326,8.78949,0.70611,0.000123875,0.000123875,0.000123875
93,61486.5,0.13514,0.94298,0.85809,0.49875,0.99676,0.50267,0.50261,0.05963,8.47122,0.70565,0.0001115,0.0001115,0.0001115
94,62033.7,0.1316,0.88635,0.85956,0.49942,0.99712,0.50336,0.5033,0.05639,9.32179,0.70555,9.9125e-05,9.9125e-05,9.9125e-05
95,62530.6,0.12658,1.02363,0.84221,0.49933,0.99787,0.50229,0.50225,0.05182,8.7693,0.70529,8.675e-05,8.675e-05,8.675e-05
96,63028.4,0.12383,1.01963,0.8429,0.49939,0.99869,0.50164,0.50163,0.04921,8.95805,0.70492,7.4375e-05,7.4375e-05,7.4375e-05
97,63522.5,0.12591,0.95623,0.8499,0.49915,0.99712,0.50238,0.50235,0.04674,8.77005,0.70503,6.2e-05,6.2e-05,6.2e-05
98,64017.9,0.12192,0.925,0.8519,0.49916,0.99806,0.50236,0.50231,0.04403,9.11426,0.70502,4.9625e-05,4.9625e-05,4.9625e-05
99,64513.4,0.12515,0.9738,0.85114,0.49948,0.9971,0.50274,0.50268,0.04402,9.05223,0.70498,3.725e-05,3.725e-05,3.725e-05
100,65207.2,0.12136,0.94842,0.85351,0.49943,0.99776,0.50187,0.5018,0.04398,8.91108,0.7049,2.4875e-05,2.4875e-05,2.4875e-05
